Code	Incipit	Rubrica	File	Source	Duplicate of		
P1F5L1	De Actibus Apostolórum	Ac. 5: 1-6	x	AELF			
P1F5L2		Ac. 5: 7-11	x	AELF			
P1F5L3		Ac. 5: 12-16	x	AELF			
P1F6L1	De Actibus Apostolórum	Ac. 8: 9-13	x	AELF			
P1F6L2		Ac. 8: 14-19	x	AELF			
P1F6L3		Ac. 8: 19-24	x	AELF			
P1F7L1	De Actibus Apostolórum	Ac. 10: 1-8	x	AELF			
P1F7L2		Ac. 10: 9-17	x	AELF			
P1F7L3		Ac. 10: 34-41	x	AELF			
P2F1N1L1	De Actibus Apostolórum	Ac. 13: 13-20	x	AELF			
P2F1N1L2		Ac. 13: 21-25	x	AELF			
P2F1N1L3		Ac. 13: 26-33	x	AELF			
P2F2L1	De Actibus Apostolórum	Ac. 15: 5-12	x	AELF			
P2F2L2		Ac. 15: 13-21	x	AELF			
P2F2L3		Ac. 15: 22-29	x	AELF			
P2F3L1	De Actibus Apostolórum	Ac. 17: 22-27	x	AELF			
P2F3L2		Ac. 17: 28-33	x	AELF			
P2F3L3		Ac. 17: 34; 18: 1-4	x	AELF			
P2F4L1	De Actibus Apostolórum	Ac. 20: 17-24	x	AELF			
P2F4L2		Ac. 20: 25-31	x	AELF			
P2F4L3		Ac. 20: 32-38	x	AELF			
P2F5L1	De Actibus Apostolórum	Ac. 24: 10-16	x	AELF			
P2F5L2		Ac. 24: 17-21	x	AELF			
P2F5L3		Ac. 24: 22-27	x	AELF			
P2F6L1	De Actibus Apostolórum	Ac. 25: 1-5	x	AELF			
P2F6L2		Ac. 25: 6-8	x	AELF			
P2F6L3		Ac. 25: 9-12	x	AELF			
P2F7L1	De Actibus Apostolórum	Ac. 28: 16-20	x	AELF			
P2F7L2		Ac. 28: 21-24	x	AELF			
P2F7L3		Ac. 28: 25-31	x	AELF			
P3F1N1L1	Incipit liber Apocalýpsis beáti Joánnis Apóstoli	Ap. 1: 1-6	x	AELF			
P3F1N1L2		Ap. 1: 7-11	x	AELF			
P3F1N1L3		Ap. 1: 12-19	x	AELF			
P3F2L1	De libro Apocalýpsis beáti Joánnis Apóstoli	Ap. 2: 1-7	x	AELF			
P3F2L2		Ap. 2: 8-11	x	AELF			
P3F2L3		Ap. 2: 12-17	x	AELF			
P3F3L1	De libro Apocalýpsis beáti Joánnis Apóstoli	Ap. 4: 1-5	x	AELF			
